Column 1,Column 2,Column 3
115,4,7 1 1 0 2 0 1 0 2 0 1 0 3 1 2 0 6 1
35,4,7 0 1 0 2 0 1 0 2 0 1 0 3 1 2 1 6 1
220,4,7 1 1 0 2 0 1 0 2 0 1 0 3 1 2 1 6 1
47,4,7 0 1 0 2 0 1 0 2 0 1 0 3 1 4 1 6 1
208,4,7 1 1 0 2 0 1 0 2 0 1 0 3 1 4 1 6 1
200,4,7 0 1 0 2 0 1 0 2 0 1 1 3 1 2 0 6 1
55,4,7 1 1 0 2 0 1 0 2 0 1 1 3 1 2 0 6 1
50,4,7 0 1 0 2 0 1 0 2 0 1 1 3 1 2 1 6 1
205,4,7 1 1 0 2 0 1 0 2 0 1 1 3 1 2 1 6 1
58,4,7 0 1 0 2 0 1 0 2 0 1 1 3 1 4 1 6 1
197,4,7 1 1 0 2 0 1 0 2 0 1 1 3 1 4 1 6 1
112,4,7 0 1 0 2 0 1 0 2 0 2 0 3 0 1 0 6 1
143,4,7 1 1 0 2 0 1 0 2 0 2 0 3 0 1 0 6 1
7,4,7 0 1 0 2 0 1 0 2 0 2 0 3 0 1 1 6 1
248,4,7 1 1 0 2 0 1 0 2 0 2 0 3 0 1 1 6 1
13,4,7 0 1 0 2 0 1 0 2 0 2 1 3 0 1 1 6 1
242,4,7 1 1 0 2 0 1 0 2 0 2 1 3 0 1 1 6 1
29,4,7 0 1 0 2 0 1 0 2 0 2 1 3 0 4 1 6 1
226,4,7 1 1 0 2 0 1 0 2 0 2 1 3 0 4 1 6 1
176,4,7 0 1 0 2 0 1 0 2 0 2 0 3 1 1 0 6 1
79,4,7 1 1 0 2 0 1 0 2 0 2 0 3 1 1 0 6 1
11,4,7 0 1 0 2 0 1 0 2 0 2 0 3 1 1 1 6 1
244,4,7 1 1 0 2 0 1 0 2 0 2 0 3 1 1 1 6 1
14,4,7 0 1 0 2 0 1 0 2 0 2 1 3 1 1 1 6 1
241,4,7 1 1 0 2 0 1 0 2 0 2 1 3 1 1 1 6 1
46,4,7 0 1 0 2 0 1 0 2 0 2 1 3 1 4 1 6 1
209,4,7 1 1 0 2 0 1 0 2 0 2 1 3 1 4 1 6 1
83,4,7 0 1 0 2 0 1 1 2 0 1 0 3 0 5 1 6 1
172,4,7 1 1 0 2 0 1 1 2 0 1 0 3 0 5 1 6 1
163,4,7 0 1 0 2 0 1 1 2 0 1 0 3 1 5 1 6 1
92,4,7 1 1 0 2 0 1 1 2 0 1 0 3 1 5 1 6 1
71,4,7 0 1 0 2 0 1 0 2 1 2 0 3 0 5 1 6 1
184,4,7 1 1 0 2 0 1 0 2 1 2 0 3 0 5 1 6 1
139,4,7 0 1 0 2 0 1 0 2 1 2 0 3 1 5 1 6 1
116,4,7 1 1 0 2 0 1 0 2 1 2 0 3 1 5 1 6 1
124,4,7 0 1 0 2 0 1 1 2 1 3 0 4 0 5 1 6 1
131,4,7 1 1 0 2 0 1 1 2 1 3 0 4 0 5 1 6 1
188,4,7 0 1 0 2 0 1 1 2 1 3 1 4 0 5 1 6 1
67,4,7 1 1 0 2 0 1 1 2 1 3 1 4 0 5 1 6 1
40,4,7 0 1 0 2 0 1 1 2 1 3 0 4 1 5 1 6 0
215,4,7 1 1 0 2 0 1 1 2 1 3 0 4 1 5 1 6 0
212,4,7 0 1 0 2 0 1 1 2 1 3 0 4 1 5 1 6 1
43,4,7 1 1 0 2 0 1 1 2 1 3 0 4 1 5 1 6 1
20,4,7 0 1 0 2 0 1 1 2 1 3 1 4 1 5 1 6 0
235,4,7 1 1 0 2 0 1 1 2 1 3 1 4 1 5 1 6 0
232,4,7 0 1 0 2 0 1 1 2 1 3 1 4 1 5 1 6 1
23,4,7 1 1 0 2 0 1 1 2 1 3 1 4 1 5 1 6 1
61,4,7 0 1 0 2 0 1 1 2 1 3 0 5 0 4 1 6 1
194,4,7 1 1 0 2 0 1 1 2 1 3 0 5 0 4 1 6 1
62,4,7 0 1 0 2 0 1 1 2 1 3 1 5 0 4 1 6 1
193,4,7 1 1 0 2 0 1 1 2 1 3 1 5 0 4 1 6 1
